epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.613,2.20124,1.87502,1.00148,0.77036,0.6145,0.70639,0.3299,1.84902,1.97696,0.94031,0.00333139,0.00333139,0.00333139
2,430.202,2.03726,1.30372,0.95314,0.76205,0.64945,0.72512,0.35126,1.81037,1.51112,0.93317,0.00665813,0.00665813,0.00665813
3,636.346,2.06514,1.23307,0.95456,0.82238,0.64032,0.74618,0.36509,1.79845,1.36573,0.93067,0.00997826,0.00997826,0.00997826
4,837.338,2.0147,1.1742,0.95325,0.81671,0.6594,0.76099,0.37488,1.77497,1.2895,0.93116,0.0099703,0.0099703,0.0099703
5,1038.77,1.9312,1.0803,0.93953,0.82582,0.68339,0.77895,0.40611,1.67026,1.21192,0.91033,0.0099604,0.0099604,0.0099604
6,1242.54,1.86719,1.02381,0.92642,0.84932,0.69579,0.79047,0.41935,1.66084,1.16672,0.90671,0.0099505,0.0099505,0.0099505
7,1440.25,1.81855,0.99287,0.9231,0.86373,0.71146,0.81204,0.4403,1.61218,1.10563,0.89994,0.0099406,0.0099406,0.0099406
8,1640.25,1.76572,0.94502,0.91187,0.84105,0.71432,0.81347,0.42867,1.64783,1.07507,0.8972,0.0099307,0.0099307,0.0099307
9,1846.43,1.74758,0.91968,0.90809,0.867,0.7117,0.81277,0.44431,1.58607,1.20103,0.8907,0.0099208,0.0099208,0.0099208
10,2044.84,1.70998,0.90565,0.9047,0.86144,0.71263,0.81639,0.44812,1.60897,1.03451,0.89665,0.0099109,0.0099109,0.0099109
11,2244.35,1.70712,0.89372,0.90313,0.87622,0.73504,0.83326,0.46564,1.54668,1.12915,0.89097,0.009901,0.009901,0.009901
12,2452.1,1.67825,0.87106,0.89753,0.87196,0.73234,0.82996,0.46904,1.54483,1.00998,0.89006,0.0098911,0.0098911,0.0098911
13,2655.28,1.67176,0.87605,0.89712,0.87894,0.74826,0.83394,0.47437,1.5391,1.04232,0.8872,0.0098812,0.0098812,0.0098812
14,2854.75,1.65955,0.86701,0.89723,0.87186,0.7261,0.82762,0.46034,1.55406,1.01135,0.88911,0.0098713,0.0098713,0.0098713
15,3050.79,1.63899,0.85212,0.89557,0.87686,0.75739,0.84196,0.48018,1.50022,0.94211,0.8826,0.0098614,0.0098614,0.0098614
16,3249.64,1.62624,0.84081,0.89053,0.86728,0.75726,0.84476,0.47218,1.52804,0.98407,0.8802,0.0098515,0.0098515,0.0098515
17,3447.88,1.61342,0.83105,0.88899,0.89665,0.7593,0.85899,0.49602,1.45288,0.96176,0.87302,0.0098416,0.0098416,0.0098416
18,3657.77,1.58461,0.81222,0.88817,0.89079,0.75822,0.85282,0.48475,1.4937,0.98497,0.88063,0.0098317,0.0098317,0.0098317
19,3861.22,1.58867,0.81882,0.88597,0.86455,0.74935,0.83839,0.46895,1.52056,1.2611,0.88398,0.0098218,0.0098218,0.0098218
20,4066.12,1.57653,0.80609,0.88653,0.89863,0.75589,0.85772,0.50099,1.46064,0.94438,0.87271,0.0098119,0.0098119,0.0098119
